university_name,alias_names,state,city,zip,institutional_control,rank,tied,acceptance_rate,tuition,enrollment
Lesley University,,MA,Cambridge,2138,private,342,True,87,31364,1757
Missouri State University,,MO,Springfield,65897,public,342,True,94,17144,18837
Baker University,,KS,Baldwin City,66006,private,345,True,92,33800,1187
University of Tennessee at Chattanooga,University of Tennessee Chattanooga,TN,Chattanooga,37403,public,345,True,83,25966,9884
University of Louisiana at Lafayette,University of Louisiana Lafayette,LA,Lafayette,70504,public,345,True,75,24110,12950
Concordia University -- Irvine,,CA,Irvine,92612,private,345,True,69,41390,1699
Daemen University,,NY,Amherst,14226,private,345,True,73,33724,1782
University of Lynchburg,,VA,Lynchburg,24501,private,345,True,96,35540,1589
University of Hawaii at Hilo,UH Hilo University of Hawaii Hilo,HI,Hilo,96720,public,352,True,51,20798,2593
Georgia Southern University,,GA,Statesboro,30460,public,352,True,89,20816,22003
Walsh University,,OH,North Canton,44720,private,352,True,72,34595,1558
Eastern Kentucky University,,KY,Richmond,40475,public,352,True,98,20222,12072
Texas A&M University--Kingsville,Texas A & M University--Kingsville Texas A and M University--Kingsville Texas A&M University Kingsville,TX,Kingsville,78363,public,352,True,97,11445,4845
University of Northern Colorado,,CO,Greeley,80639,public,352,True,84,26204,6728
University of Southern Mississippi,,MS,Hattiesburg,39406,public,352,True,99,11618,10258
Point Park University,,PA,Pittsburgh,15222,private,352,True,82,48070,2418
Gardner-Webb University,Gardner Webb Gardner Webb University,NC,Boiling Springs,28017,private,356,True,79,33230,1983
William Carey University,,MS,Hattiesburg,39401,private,356,True,57,14685,3337
Carson-Newman University,Carson Newman College,TN,Jefferson City,37760,private,361,True,80,34700,1528
Western Kentucky University,,KY,Bowling Green,42101,public,361,True,97,27000,14440
The University of Akron,,OH,Akron,44325,public,361,True,83,17239,11323
The University of Texas at Tyler,University of Texas Tyler,TX,Tyler,75799,public,361,True,94,25198,6971
University of Montana,UMT,MT,Missoula,59812,public,361,True,95,31622,7215
Clark Atlanta University,,GA,Atlanta,30314,private,361,True,56,26446,3427
Husson University,,ME,Bangor,4401,private,361,True,91,22194,2453
Arkansas State University,Arkansas State University Jonesboro Arkansas State University Jonesboro,AR,State University,72467,public,361,True,70,13312,8201
Long Island University,,NY,Brookville,11548,private,369,True,93,41492,11319
Texas A&M University--Commerce,Texas A & M University--Commerce Texas A and M University--Commerce Texas A&M University Commerce,TX,Commerce,75429,public,369,True,42,22626,7201
Dominican University New York,,NY,Orangeburg,10962,private,369,True,89,33060,1097
Regent University,,VA,Virginia Beach,23464,private,369,True,32,20685,4552
University of Louisiana at Monroe,University of Louisiana Monroe,LA,Monroe,71209,public,369,True,72,21679,6472
Mississippi College,,MS,Clinton,39058,private,369,True,40,21698,2396
"University of Maryland, Eastern Shore",University of Maryland Eastern Shore,MD,Princess Anne,21853,public,369,True,81,19728,1933
Wingate University,,NC,Wingate,28174,private,376,True,86,41516,2510
University of Mary,,ND,Bismarck,58504,private,376,True,79,21062,2579
Dallas Baptist University,,TX,Dallas,75211,private,376,True,91,38140,2968
Eastern Michigan University,EMU,MI,Ypsilanti,48197,public,376,True,83,15170,11617
Mount St. Joseph University,College of Mount St Joseph College of Mount Saint Joseph,OH,Cincinnati,45233,private,376,True,54,34900,1423
Tarleton State University,,TX,Stephenville,76402,public,376,True,57,21932,12012
Pontifical Catholic University of Puerto Rico--Ponce,,PR,Ponce,717,private,380,False,85,5920,4473
Indiana State University,,IN,Terre Haute,47809,public,382,True,92,21734,6965
Northern Kentucky University,,KY,Highland Heights,41099,public,382,True,86,21480,10776
Palm Beach Atlantic University,,FL,West Palm Beach,33416,private,382,True,95,35900,3028
Trevecca Nazarene University,,TN,Nashville,37210,private,382,True,71,27300,1867
University of West Georgia,,GA,Carrollton,30118,public,382,True,80,20852,8687
University of South Alabama,,AL,Mobile,36688,public,382,True,65,22640,8491
University of Alaska--Fairbanks,University of Alaska Fairbanks,AK,Fairbanks,99775,public,389,True,65,22032,5844
University of Bridgeport,,CT,Bridgeport,6604,private,389,True,73,35760,1873
University of Arkansas at Little Rock,University of Arkansas Little Rock,AR,Little Rock,72204,public,390,True,56,18957,6236
Saint Leo University,St Leo University Saint Leo University,FL,Saint Leo,33574,private,390,True,80,28360,2336
Roosevelt University,,IL,Chicago,60605,private,390,True,88,20280,2391
University of Michigan--Flint,UM University of Michigan Flint,MI,Flint,48502,public,390,True,66,25830,4609
